id,prompt,human_code,ai_code,bleu_score,correctness_score,human_passes,ai_passes,output_match,total_tests,cyclomatic_complexity_human,cyclomatic_complexity_ai,halstead_volume_human,halstead_volume_ai,halstead_difficulty_human,halstead_difficulty_ai,halstead_effort_human,halstead_effort_ai,ast_similarity
1,Tulis kod untuk kalkulator asas,"def kalkulator():
  a = int(input('Nombor pertama: '))
  b = int(input('Nombor kedua: '))
  print('Jumlah:', a + b)","def kalkulator():
  x = int(input('Masukkan nombor pertama: '))
  y = int(input('Masukkan nombor kedua: '))
  print('Hasil:', x + y)",0.06260040278956522,0.0,0.0,0.0,0.0,0.0,1,1,58.81033751683405,58.81033751683405,1.875,1.875,110.26938284406386,110.26938284406386,1.0
2,Tulis fungsi untuk menyusun senarai nombor,"def susun_senarai(s):
  return sorted(s)","def susun(senarai):
  senarai.sort()
  return senarai",0.05428693985879238,1.0,1.0,1.0,1.0,3.0,1,1,11.60964047443681,13.931568569324174,1.5,2.25,17.414460711655217,31.34602928097939,0.5923076923076923
3,Fungsi untuk kira faktor nombor,"def faktor(n):
  return [i for i in range(1, n+1) if n % i == 0]","def cari_faktor(n):
  faktor = []
  for i in range(1, n+1):
    if n % i == 0:
      faktor.append(i)
  return faktor",0.33380800216772966,1.0,1.0,1.0,1.0,3.0,1,3,48.432042660922164,78.13781191217038,4.800000000000001,6.285714285714286,232.47380477242643,491.1519605907852,0.39751552795031053
4,Fungsi untuk periksa nombor perdana,"def adalah_perdana(n):
  if n < 2:
    return False
  for i in range(2, int(n**0.5)+1):
    if n % i == 0:
      return False
  return True","def semak_perdana(n):
  if n <= 1:
    return False
  for i in range(2, n):
    if n % i == 0:
      return False
  return True",0.6333686667931249,1.0,1.0,1.0,1.0,4.0,4,4,121.01398665684616,88.0,7.0,5.5,847.0979065979232,484.0,0.6727272727272727
5,Fungsi untuk kira nombor Fibonacci,"def fibonacci(n):
  a, b = 0, 1
  for _ in range(n):
    print(a)
    a, b = b, a + b","def fib(n):
  f1, f2 = 0, 1
  for i in range(n):
    print(f1)
    temp = f1 + f2
    f1 = f2
    f2 = temp",0.13566979610140004,0.0,0.0,0.0,0.0,0.0,2,2,48.432042660922164,53.77443751081734,2.5714285714285716,2.5,124.53953827094271,134.43609377704337,0.6666666666666666
6,Tukar suhu dari Celsius ke Fahrenheit,"def c_ke_f(c):
  return (c * 9/5) + 32","def tukar_suhu(c):
  f = (9/5) * c + 32
  return f",0.06527078148671275,1.0,1.0,1.0,1.0,3.0,1,1,28.52932501298081,33.219280948873624,2.5,2.5,71.32331253245202,83.04820237218406,0.5
7,Periksa sama ada nombor itu genap atau ganjil,"def ganjil_genap(n):
  return 'Genap' if n % 2 == 0 else 'Ganjil'","def semak_genap_ganjil(n):
  if n % 2 == 0:
    return 'Genap'
  else:
    return 'Ganjil'",0.3541698766144061,1.0,1.0,1.0,1.0,3.0,1,2,28.52932501298081,36.541209043760986,2.0,2.5,57.05865002596162,91.35302260940247,0.5756302521008403
8,Kira jumlah digit dalam nombor,"def jumlah_digit(n):
  return sum([int(d) for d in str(n)])","def digit_total(n):
  jumlah = 0
  for d in str(n):
    jumlah += int(d)
  return jumlah",0.10237664105496519,1.0,1.0,1.0,1.0,3.0,1,2,30.0,41.51317942364757,1.5,2.5,45.0,103.78294855911892,0.38839285714285715
9,Tukar teks kepada huruf besar,"def tukar_besar(teks):
  return teks.upper()","def huruf_besar(teks):
  return teks.upper()",0.18616487055295167,1.0,1.0,1.0,1.0,3.0,1,1,11.60964047443681,11.60964047443681,1.5,1.5,17.414460711655217,17.414460711655217,1.0
10,Kira panjang satu senarai,"def panjang_senarai(s):
  return len(s)","def kira_panjang(senarai):
  return len(senarai)",0.07258113984652705,1.0,1.0,1.0,1.0,3.0,1,1,11.60964047443681,11.60964047443681,1.5,1.5,17.414460711655217,17.414460711655217,1.0
11,Cari nilai maksimum dalam senarai,"def nilai_maksimum(s):
  return max(s)","def cari_maks(senarai):
  terbesar = senarai[0]
  for n in senarai:
    if n > terbesar:
      terbesar = n
  return terbesar",0.016932345201716215,1.0,1.0,1.0,1.0,3.0,1,3,11.60964047443681,38.039100017307746,1.5,4.375,17.414460711655217,166.42106257572138,0.28125
12,Cari nilai minimum dalam senarai,"def nilai_minimum(s):
  return min(s)","def cari_min(senarai):
  kecil = senarai[0]
  for n in senarai:
    if n < kecil:
      kecil = n
  return kecil",0.016932345201716215,1.0,1.0,1.0,1.0,3.0,1,3,11.60964047443681,38.039100017307746,1.5,4.375,17.414460711655217,166.42106257572138,0.28125
13,Kira purata satu senarai nombor,"def purata(s):
  return sum(s)/len(s)","def kira_purata(senarai):
  jumlah = sum(senarai)
  panjang = len(senarai)
  return jumlah / panjang",0.02383765064930276,1.0,1.0,1.0,1.0,3.0,1,1,25.26619429851844,34.86917501586544,2.6666666666666665,2.4,67.3765181293825,83.68602003807705,0.5092592592592593
14,Semak sama ada perkataan palindrom,"def adalah_palindrom(p):
  return p == p[::-1]","def semak_palindrom(teks):
  teks = teks.lower()
  return teks == teks[::-1]",0.033866335496821456,1.0,1.0,1.0,1.0,3.0,1,1,18.094737505048094,30.0,3.0,4.166666666666667,54.28421251514428,125.00000000000001,0.4688888888888889
15,Tukar senarai ke set,"def tukar_set(s):
  return set(s)","def senarai_ke_set(senarai):
  return set(senarai)",0.07258113984652705,1.0,1.0,1.0,1.0,3.0,1,1,11.60964047443681,11.60964047443681,1.5,1.5,17.414460711655217,17.414460711655217,1.0
16,Gabung dua senarai,"def gabung_senarai(a, b):
  return a + b","def gabungkan(a, b):
  a.extend(b)
  return a",0.09782262536517172,0.0,0.0,0.0,0.0,3.0,1,1,11.60964047443681,18.094737505048094,1.5,2.0,17.414460711655217,36.18947501009619,0.4479166666666667
17,Semak sama ada elemen wujud dalam senarai,"def semak_elemen(x, s):
  return x in s","def wujud(x, senarai):
  for elemen in senarai:
    if elemen == x:
      return True
  return False",0.02183556213332633,0.0,0.0,0.0,0.0,3.0,1,3,11.60964047443681,36.541209043760986,1.5,2.5,17.414460711655217,91.35302260940247,0.40476190476190477
18,Tukar nombor kepada format mata wang,"def format_ringgit(n):
  return 'RM{:.2f}'.format(n)","def ringgit(nombor):
  return f'RM{nombor:.2f}'",0.07258113984652705,1.0,1.0,1.0,1.0,3.0,1,1,15.509775004326936,11.60964047443681,1.5,1.0,23.264662506490403,11.60964047443681,0.5833333333333333
19,Kira kuasa nombor,"def kuasa(a, b):
  return a ** b","def darab_ulang(a, b):
  hasil = 1
  for _ in range(b):
    hasil *= a
  return hasil",0.023463838512937193,0.0,0.0,0.0,0.0,3.0,1,2,11.60964047443681,33.219280948873624,1.5,2.5,17.414460711655217,83.04820237218406,0.2764423076923077
20,Cetak segitiga bintang,"def cetak_segitiga(n):
  for i in range(1, n+1):
    print('*' * i)","def bintang(n):
  for i in range(n):
    print('*' * (i+1))",0.1701713127700448,0.0,0.0,0.0,0.0,0.0,2,2,44.97261104228487,41.51317942364757,2.916666666666667,2.5,131.17011553999754,103.78294855911892,0.74
